id,similiar_items
3369795,"[[0.94976013672333992, 3151236], [0.94976013672333992, 2990380], [0.94976013672333992, 3145836], [0.94976013672333992, 3137379], [0.9443732904624601, 2900791], [0.94058849183774418, 3055452], [0.94058849183774418, 2931861], [0.94058849183774418, 2969330], [0.9375716358486732, 2995830], [0.9375716358486732, 3022103], [0.5160490364342456, 3168219], [0.5160490364342456, 2957052], [0.38820775803102681, 3225382], [0.15324287312686449, 2872143], [0.15324287312686449, 2943287], [0.15324287312686449, 3010388], [0.14957717988165575, 3057695], [0.146441233667881, 3056997]]"
63061,"[[0.89862735433904029, 63065], [0.85824592402232092, 63064], [0.82306677877072554, 63066], [0.55015701829079511, 37836], [0.54519187107104572, 37905], [0.51454654301360869, 38088], [0.457636291768381, 38121], [0.41976444676019325, 38120], [0.40847708476744554, 38119], [0.14602672254396729, 3281464], [0.059055972915383032, 3291285], [0.057605303493420516, 3291276], [0.056212758926518634, 2994175], [0.055820369720026831, 3304032], [0.05417365358967275, 3291237], [0.050589729441211047, 3002728], [0.050359693748931067, 3319056], [0.048257066292123695, 2875638]]"
63064,"[[0.87743638813222247, 63066], [0.85824592402232092, 63061], [0.84051250281000534, 63065], [0.56252126995149188, 37836], [0.55898782861836727, 37905], [0.55600802250383208, 38088], [0.46313921750019127, 38121], [0.42481197602508142, 38120], [0.41217524406365452, 38119], [0.1473487797697193, 3281464], [0.059590637902423929, 3291285], [0.05812683480219985, 3291276], [0.053934705947693985, 3291237], [0.051643586318808832, 3002728], [0.051361677725058112, 3319056], [0.04932691386067601, 2875638], [0.048304479768056248, 2874243], [0.047888749787309254, 3002678]]"
63065,"[[0.89862735433904029, 63061], [0.84051250281000534, 63064], [0.80640081088043225, 63066], [0.54982493061551829, 37836], [0.54579727725991956, 38088], [0.54486278047504366, 37905], [0.45736005177288314, 38121], [0.4195110670982895, 38120], [0.40823051842188501, 38119], [0.14593857739048252, 3281464], [0.059020325345499024, 3291285], [0.057570531581612142, 3291276], [0.056178827587260595, 2994175], [0.055786675236093819, 3304032], [0.053836844964612537, 3291237], [0.050559192294388447, 3002728], [0.050329295457045765, 3319056], [0.048227937195469736, 2875638]]"
63066,"[[0.87743638813222247, 63064], [0.82306677877072554, 63061], [0.80640081088043225, 63065], [0.57303626211251202, 37836], [0.55195125271868051, 37905], [0.52562994891748982, 38088], [0.49061431722308524, 38121], [0.4500133646437508, 38120], [0.43677272954924162, 38119], [0.13925884350098686, 3281464], [0.05949438432843257, 3291285], [0.05811295834987841, 3291276], [0.053853900055429296, 3291237], [0.05221933901586398, 3319056], [0.051134398264689379, 3125388], [0.050250817897710409, 3002728], [0.049322140816287045, 2875638], [0.049183039776630945, 3314610]]"
38088,"[[0.55600802250383208, 63064], [0.54579727725991956, 63065], [0.54188507137861253, 37836], [0.52562994891748982, 63066], [0.51454654301360869, 63061], [0.50904671022239145, 37905], [0.49532769493713169, 38121], [0.45433668520223014, 38120], [0.44211968428172954, 38119], [0.22188650148876168, 3281464], [0.06217679850328596, 3291285], [0.060039476728837596, 3291276], [0.058631093311339859, 2952047], [0.058631093311339859, 2868323], [0.056515928407328664, 3291237], [0.051299834663962929, 3132216], [0.050924502214831163, 2875638], [0.050045393412211439, 2875633]]"
38119,"[[0.8955415160250294, 38120], [0.51948755943275304, 38121], [0.44479398994007424, 37836], [0.44211968428172954, 38088], [0.43677272954924162, 63066], [0.42451602993200277, 37905], [0.41217524406365452, 63064], [0.40847708476744554, 63061], [0.40823051842188501, 63065], [0.28997412724928207, 3281464], [0.065837837609153863, 3291285], [0.063353046491715928, 3291276], [0.058532921585411103, 3291237], [0.053718585789676386, 2875638], [0.052791138336666196, 2875633], [0.050720282098010085, 2874243], [0.049582008317815271, 3125718], [0.048970293194134026, 3333105]]"
38120,"[[0.8955415160250294, 38119], [0.57581295003387978, 38121], [0.45708488939043285, 37836], [0.45433668520223014, 38088], [0.4500133646437508, 63066], [0.43624659274752686, 37905], [0.42481197602508142, 63064], [0.41976444676019325, 63061], [0.4195110670982895, 63065], [0.30691541076069434, 3281464], [0.067657120828767875, 3291285], [0.06510366799720993, 3291276], [0.060150349585818524, 3291237], [0.055202980254280831, 2875638], [0.05424990483945405, 2875633], [0.052121825062753049, 2874243], [0.051153877811386195, 2978295], [0.050952097600863396, 3125718]]"
38121,"[[0.57581295003387978, 38120], [0.51948755943275304, 38119], [0.49832384666798535, 37836], [0.49532769493713169, 38088], [0.49061431722308524, 63066], [0.47560548431969213, 37905], [0.46313921750019127, 63064], [0.457636291768381, 63061], [0.45736005177288314, 63065], [0.31937952709347361, 3281464], [0.073761258550539097, 3291285], [0.070977428966926853, 3291276], [0.065577213948163682, 3291237], [0.060694451729988982, 2875633], [0.060183484745111447, 2875638], [0.056824342618862683, 2874243], [0.056681310622739893, 3126354], [0.055769065560117431, 2978295]]"
3281464,"[[0.31937952709347361, 38121], [0.30691541076069434, 38120], [0.28997412724928207, 38119], [0.22188650148876168, 38088], [0.20349514194855556, 37836], [0.19479243454069989, 37905], [0.1473487797697193, 63064], [0.14602672254396729, 63061], [0.14593857739048252, 63065], [0.13925884350098686, 63066], [0.0968240982482938, 3291285], [0.090713897782722069, 3291276], [0.084860468930333416, 3291237], [0.076735782142530448, 2875638], [0.075409782764485012, 2875633], [0.072793700303878953, 3125718], [0.072387402456236621, 2874243], [0.06857663769914743, 3167712]]"
37836,"[[0.85928060226464653, 37905], [0.57303626211251202, 63066], [0.56252126995149188, 63064], [0.55015701829079511, 63061], [0.54982493061551829, 63065], [0.54188507137861253, 38088], [0.49832384666798535, 38121], [0.45708488939043285, 38120], [0.44479398994007424, 38119], [0.20349514194855556, 3281464], [0.063851930497576842, 3291285], [0.063163435338599791, 3291276], [0.059586583641947501, 3291237], [0.051814426259236282, 2875638], [0.050038970996230864, 2875633], [0.048086054503235491, 2874243], [0.04715644607741467, 2978295], [0.046845286739216049, 3151779]]"
37905,"[[0.85928060226464653, 37836], [0.55898782861836727, 63064], [0.55195125271868051, 63066], [0.54519187107104572, 63061], [0.54486278047504366, 63065], [0.50904671022239145, 38088], [0.47560548431969213, 38121], [0.43624659274752686, 38120], [0.42451602993200277, 38119], [0.19479243454069989, 3281464], [0.056036931878421924, 3291285], [0.054243543589853303, 3291276], [0.052042460387019415, 3291237], [0.046141752546342625, 2875638], [0.045333989204165398, 2875633], [0.043196767668825173, 3334959], [0.042947112625730748, 2978295], [0.042940089597399873, 2874243]]"
968774,"[[0.079357373716787249, 3291285], [0.077152712507957646, 3291276], [0.071171954528423315, 3291237], [0.067598572425470127, 3319230], [0.067141726334895596, 2875638], [0.066040196104055662, 2978295], [0.065945558945143826, 2875633], [0.065805647390946964, 2874243], [0.064400513217424155, 3125718], [0.063871174777696785, 3002453], [0.06136525913359802, 3207675], [0.060885194102380351, 3314808], [0.058540101100856771, 2870438], [0.057769075536602661, 3057467], [0.057438541469860029, 3195669], [0.056983805921105947, 3195681], [0.056754853675150624, 3196260], [0.055200222088998156, 3310914]]"
745832,"[[0.10012742185002686, 3304137], [0.092748637281957022, 3291285], [0.089591521699304538, 3291276], [0.084048507201493358, 3184410], [0.082889320385044346, 2999390], [0.082628523428355471, 3291237], [0.078723618302851975, 3112455], [0.078227423849943384, 3125718], [0.077447082924882227, 3185076], [0.075992370109674898, 2875638], [0.075312876766127426, 2959497], [0.074680529796357253, 2875633], [0.074528668731237036, 3168147], [0.074528668731237036, 3167745], [0.074528668731237036, 3167283], [0.074528668731237036, 3167748], [0.074528668731237036, 3167712], [0.074528668731237036, 3168174]]"
132783,"[[0.58018545512807884, 132789], [0.11646365487384673, 582991], [0.095247629205647583, 3291285], [0.094609176266756273, 3291276], [0.09056997931859917, 3261850], [0.089892378629830239, 3307380], [0.08925851673813294, 3135894], [0.08733639117008539, 3291237], [0.078447045558160622, 2875638], [0.076572365989091618, 3167748], [0.076572365989091618, 3168147], [0.076572365989091618, 3167745], [0.076572365989091618, 3167283], [0.076572365989091618, 3168174], [0.076572365989091618, 3167712], [0.076515174364040886, 3167613], [0.076433460038736994, 3168045], [0.076425892116431235, 2875633]]"
209029,"[[0.11470132897050572, 3291285], [0.10417548749164546, 3155445], [0.10170396984310968, 844828], [0.095573706872833328, 3291276], [0.094619430335333821, 3291237], [0.089291119421641599, 190544], [0.08875042768314316, 3125718], [0.083689637516031576, 3057467], [0.083413042445995511, 2976765], [0.082339079015642663, 3167748], [0.082339079015642663, 3167283], [0.082339079015642663, 3168147], [0.082339079015642663, 3167712], [0.082339079015642663, 3168174], [0.082339079015642663, 3167745], [0.082277580253350857, 3167613], [0.082189711970831483, 3168045], [0.082159628558611697, 3168024]]"
710693,"[[0.066467822687781911, 3124812], [0.048619214897799835, 190544], [0.045836444360367393, 3210937], [0.04273789309904006, 3040758], [0.031238266969192602, 3133299], [0.028783123464942238, 3138210], [0.028783087165652595, 2976765], [0.027486313937372331, 2943197], [0.02737055919137462, 3022038], [0.02737055919137462, 3056969], [0.02737055919137462, 3007593], [0.02737055919137462, 2983610], [0.027209664936838733, 3255730], [0.027179016994091355, 3390318], [0.027147989966213669, 3310014], [0.027147989966213669, 3285084], [0.027104433537596138, 3377667], [0.026808956269798803, 3306789]]"
189080,"[[0.12355198655145473, 2992580], [0.12355198655145473, 3302262], [0.11483918574653341, 3335970], [0.11417679946140687, 3007533], [0.11417679946140687, 2868273], [0.10422384657937482, 3064849], [0.096596312510823845, 3064843], [0.089321122121454252, 2898971], [0.087840991885927561, 2907036], [0.087759582841865996, 2867833], [0.08742251191638338, 2899121], [0.08742251191638338, 2869168], [0.084141302537872276, 3291276], [0.084131404694043871, 2992360], [0.083607500628970183, 3291285], [0.07907375583587524, 3291237], [0.078592304901893187, 3258169], [0.07846994389191983, 3032883]]"
406963,"[[0.14093360179881007, 2911791], [0.071924770456380516, 2972220], [0.055207327145544195, 3201078], [0.047981333853091793, 3128490], [0.038846460411216407, 3155595], [0.034876643322743713, 759787], [0.0342123183009048, 3129765], [0.032323284690294975, 3123303], [0.031769763937230786, 2889971], [0.028911483283430389, 3056133], [0.025089285161772862, 2954827], [0.024439057714017894, 3246781], [0.020092830658788738, 3149178], [0.020092830658788738, 3147894], [0.019541103100383428, 3149196], [0.018657089619904709, 3002343], [0.018120940526195277, 3154662], [0.017479938402974557, 3201819]]"
740786,"[[0.1583402970920591, 3314970], [0.1578241313118324, 3060152], [0.14436520343338433, 2888961], [0.13626570983848729, 3315378], [0.13098022271441545, 3156939], [0.12706064007048939, 3314904], [0.12303921040713428, 3123792], [0.11510501709382323, 3156879], [0.11366555518756569, 3128499], [0.11162258491834856, 3314808], [0.10909979752099093, 3314928], [0.10504989948820244, 3317688], [0.10321812461433413, 3204672], [0.10103619438991256, 3136071], [0.099118747531230331, 999299], [0.098941260746982479, 3157641], [0.098576801238213552, 3133596], [0.096150935381055638, 3124011]]"
3047707,"[[0.12566185031039576, 379120], [0.11854301150011763, 3220765], [0.11369817140969182, 3387726], [0.11360608779039426, 3387708], [0.1128990156288589, 3305220], [0.10874636789769991, 3307380], [0.10768962104707623, 1014590], [0.10610235306975496, 3165312], [0.10572981335839424, 3120735], [0.10195932665936734, 2919646], [0.10122736261125506, 3307284], [0.096609958155744358, 3139875], [0.095271106538070513, 3306948], [0.094549753831807706, 2943612], [0.090451117021192518, 2920236], [0.087719980283915949, 3135894], [0.084994066011458147, 3121080], [0.084532062641848218, 2956792]]"
3319470,"[[0.99558493978025564, 3335859], [0.19618918536686, 3334845], [0.13122530662976131, 2903246], [0.12076406427934201, 3333105], [0.076771708120514412, 3335877], [0.06977968208091323, 3334827], [0.067887879726834369, 3335928], [0.067601779128667966, 3333351], [0.067276059790975951, 3333309], [0.060984270953254767, 196010], [0.056765834781938987, 3291285], [0.056125456653218046, 3336150], [0.054776736896600668, 3028993], [0.053813404174984966, 3291276], [0.053209489842390732, 3049357], [0.053093917292912789, 3336159], [0.051283616951324704, 2898271], [0.051283616951324704, 2869138]]"
183420,"[[0.14633174803377, 3220765], [0.099884656486373541, 3220618], [0.099665794388513709, 3109977], [0.096660795015831885, 3220711], [0.096067322908695546, 3305820], [0.094153975788922317, 3067937], [0.093523490550776925, 3294879], [0.087488472470975159, 3135894], [0.085598760258943973, 3112959], [0.079497310460842116, 3291285], [0.077087103462553985, 3220561], [0.076374332502195857, 3291276], [0.075044444398253543, 3110439], [0.073792260412090985, 2894526], [0.073785848645745333, 3002728], [0.072998760516062883, 2918426], [0.072481632763155765, 2919646], [0.070377405389432351, 2923451]]"
3371754,"[[0.084961883674893171, 3322128], [0.084961883674893171, 3322152], [0.058804139625439941, 3146757], [0.04779418369698589, 3184383], [0.047520792218281566, 3184404], [0.045483227588152146, 3128508], [0.041376010112233859, 2941682], [0.038888088872904632, 3322221], [0.038888088872904632, 2895526], [0.038620299940877428, 2895511], [0.036578697722931222, 3146736], [0.034621112418195175, 2957147], [0.033298821547912978, 2990250], [0.033298821547912978, 3151068], [0.033298821547912978, 3056993], [0.033184316387517461, 3057633], [0.032287293621560409, 2943272], [0.032287293621560409, 3010238]]"
3372033,"[[0.053313043673862873, 2897916], [0.046460331245783172, 3066245], [0.046294242333052175, 3291276], [0.044087973508651818, 3291285], [0.0434336133615702, 2916216], [0.043177829102481288, 2870168], [0.042632266225234264, 3163596], [0.041765230547011166, 3341916], [0.041339512337583151, 3156159], [0.039982387797045743, 3291237], [0.039906772607414279, 3119370], [0.039802234388603135, 3293082], [0.039622509313143719, 2966095], [0.039407611655910772, 2978295], [0.039049187166630424, 3059810], [0.03865327071670515, 3125562], [0.038507593215233969, 3125718], [0.038356510335689917, 3154086]]"
1722301,"[[0.97707019668002526, 1722331], [0.97631964116027836, 1722361], [0.97033654094797173, 1722346], [0.9701637490824, 1722546], [0.9696171913985866, 1722416], [0.10988599332842425, 88045], [0.092668055328430213, 2984520], [0.092668055328430213, 2984395], [0.092668055328430213, 3160386], [0.092552229967434452, 2898411], [0.092552229967434452, 2899186], [0.092552229967434452, 2898156], [0.092552229967434452, 2898981], [0.085669921753135758, 3291285], [0.082715937227338276, 2978295], [0.082081042287041175, 2875638], [0.081397697277793932, 3291276], [0.080820313077979836, 2875633]]"
1722331,"[[0.97707019668002526, 1722301], [0.97589028319255788, 1722361], [0.96990981417974631, 1722346], [0.96973709830318611, 1722546], [0.96919078098009825, 1722416], [0.10983766855364002, 88045], [0.092627302519379701, 3160386], [0.092627302519379701, 2984395], [0.092627302519379701, 2984520], [0.092511528095125889, 2899186], [0.092511528095125889, 2898981], [0.092511528095125889, 2898156], [0.092511528095125889, 2898411], [0.085632246526757022, 3291285], [0.082679561080419989, 2978295], [0.08204494534909279, 2875638], [0.081361900855795505, 3291276], [0.080784770573342254, 2875633]]"
1722346,"[[0.97865026154402823, 1722546], [0.97809892284402089, 1722416], [0.97033654094797173, 1722301], [0.96990981417974631, 1722331], [0.96916475904741139, 1722361], [0.11010242471277838, 88045], [0.092850574272770978, 2984395], [0.092850574272770978, 2984520], [0.092850574272770978, 3160386], [0.092734520782216015, 2898156], [0.092734520782216015, 2898411], [0.092734520782216015, 2898981], [0.092734520782216015, 2899186], [0.085838657177923966, 3291285], [0.083911362410002549, 2978295], [0.082242709057057287, 2875638], [0.081558018131903373, 3291276], [0.080979496716527155, 2875633]]"
1722361,"[[0.97631964116027836, 1722301], [0.97589028319255788, 1722331], [0.96916475904741139, 1722346], [0.96899217584591713, 1722546], [0.96844627818712947, 1722416], [0.10975329460723458, 88045], [0.092556149051162814, 2984520], [0.092556149051162814, 2984395], [0.092556149051162814, 3160386], [0.092440463561290015, 2898156], [0.092440463561290015, 2898981], [0.092440463561290015, 2898411], [0.092440463561290015, 2899186], [0.085566466447170794, 3291285], [0.082616049163722519, 2978295], [0.081981920924841273, 2875638], [0.0812994011254876, 3291276], [0.080722714176912097, 2875633]]"
1722416,"[[0.97809892284402089, 1722346], [0.97792474869880308, 1722546], [0.9696171913985866, 1722301], [0.96919078098009825, 1722331], [0.96844627818712947, 1722361], [0.11002080135195343, 88045], [0.092781740403340404, 2984395], [0.092781740403340404, 3160386], [0.092781740403340404, 2984520], [0.092665772947910979, 2898411], [0.092665772947910979, 2898981], [0.092665772947910979, 2899186], [0.092665772947910979, 2898156], [0.085775021524977721, 3291285], [0.083849155538272241, 2978295], [0.082181739225247519, 2875638], [0.081497555889046183, 3291276], [0.080919463354889948, 2875633]]"
1722546,"[[0.97865026154402823, 1722346], [0.97792474869880308, 1722416], [0.9701637490824, 1722301], [0.96973709830318611, 1722331], [0.96899217584591713, 1722361], [0.11008281831585601, 88045], [0.092834039984644137, 3160386], [0.092834039984644137, 2984520], [0.092834039984644137, 2984395], [0.092718007160217136, 2898981], [0.092718007160217136, 2898411], [0.092718007160217136, 2898156], [0.092718007160217136, 2899186], [0.08582337153105192, 3291285], [0.083896419964529595, 2978295], [0.082228063755630437, 2875638], [0.081543494756238663, 3291276], [0.080965076360578217, 2875633]]"
375808,"[[0.097342731833424109, 3015198], [0.064105421769165158, 3266167], [0.053636706711336239, 3060662], [0.049706517944079646, 3057749], [0.049526606374508911, 3060176], [0.049254437190099767, 3060610], [0.04870992494962461, 2988225], [0.047996120205534246, 3057171], [0.047630704805012171, 3060182], [0.047462989146508275, 3060596], [0.047434472934553773, 3205023], [0.047228710173538996, 3058549], [0.046952235804036062, 3205053], [0.046710238595955099, 3060286], [0.046567218666696386, 3206532], [0.04589490115293629, 3060956], [0.045517128568687504, 3058563], [0.042208225544702306, 3026798]]"
3069429,"[[0.13073445529741623, 3303615], [0.12201916498873271, 3320151], [0.098612719584710393, 3261724], [0.094395961759531966, 3008318], [0.09181214229554896, 2983020], [0.082586515474053906, 2879418], [0.081177272408887308, 3069299], [0.080695893441977737, 3162483], [0.080695893441977737, 3182466], [0.080674521021437628, 3139962], [0.080674521021437628, 3128625], [0.080674521021437628, 3140082], [0.080674521021437628, 3230014], [0.080605826454144838, 3338664], [0.080605826454144838, 2887911], [0.080605826454144838, 2887516], [0.080605826454144838, 3001698], [0.080605826454144838, 3029438]]"
3372072,"[[0.18483440609718937, 3233636], [0.15492136357152994, 3220024], [0.13702702524472338, 3030788], [0.13641044304660419, 3337416], [0.12827216141202363, 3220561], [0.11270296171762957, 3030463], [0.10429029459193243, 282529], [0.095646476098539421, 3152091], [0.082837401508611269, 3144768], [0.078047372063754616, 3153522], [0.077664055122614276, 3147942], [0.076587239759742035, 3147957], [0.058775543844726122, 3298902], [0.057234545654898467, 3133758], [0.055480708544451585, 2886701], [0.046196819917799538, 2881368], [0.044183727870245562, 3125145], [0.043479625409601305, 2883483]]"
3372273,"[[0.25802514222984307, 3382593], [0.19690723842051616, 3372603], [0.12658280986544473, 3373671], [0.070601360896473092, 3380355], [0.065532447131332147, 3291285], [0.057687016231395966, 3291276], [0.055591272836771406, 3291237], [0.052990840233010726, 3373641], [0.050353346671347415, 2978295], [0.049590970839095638, 2875633], [0.049389745748510981, 3125718], [0.04937382831525499, 2875638], [0.049229565884581564, 3319230], [0.048343002157651721, 2874243], [0.047118104478078612, 3199566], [0.04703760191223872, 2959497], [0.046853317293176946, 3160386], [0.046853317293176946, 2984395]]"
379120,"[[0.17181056442284257, 1014590], [0.14708786339879754, 2943612], [0.13794304938113913, 2978295], [0.13316618088319895, 3221410], [0.13189993970211486, 3227902], [0.13112278554457213, 3279811], [0.12949465600412599, 3218692], [0.12735053668696347, 2919646], [0.12566185031039576, 3047707], [0.12562517016400226, 3207474], [0.12492990441784893, 3184329], [0.12455300010879344, 3112554], [0.12400338152094757, 2956792], [0.12390663208084701, 3120735], [0.12347249165636295, 3291285], [0.12202042557945988, 3220477], [0.12049564709990818, 3129786], [0.12035252058889864, 3227914]]"
212154,"[[0.11829209570733744, 3226999], [0.098817059741730842, 3129822], [0.085279293955685856, 849365], [0.08159068578553097, 3225835], [0.077423598046365047, 2931901], [0.074634705628852049, 3184329], [0.073550809129483224, 3135567], [0.073452734152411561, 3307284], [0.072325478508824328, 3120735], [0.071885852968375144, 3064731], [0.069542173061734325, 2943612], [0.068453502548084605, 3305931], [0.067904185820832616, 2978295], [0.065222624006349081, 1014590], [0.064578607281322795, 3291285], [0.064534856897185897, 2956792], [0.064087841441222829, 3306948], [0.063941864858189132, 2919646]]"
159391,"[[0.47675876216586027, 2966095], [0.41413864419205099, 212622], [0.17674155280714635, 2911091], [0.15228195583951065, 3208134], [0.14604227051528373, 3068293], [0.125754000947713, 3381819], [0.11469115628092406, 2909556], [0.11451550877406914, 3249676], [0.1128151541047744, 237196], [0.10630496016911174, 3065307], [0.10336411857109309, 3037098], [0.098678821587715473, 3207600], [0.098333278386437059, 3230794], [0.097647476077409423, 2873708], [0.087818393143984916, 3120042], [0.084673636286261095, 3066245], [0.084365067378593811, 2909131], [0.084106248563284525, 2999705]]"
2251565,"[[0.1457545746195725, 2435485], [0.10599300203953667, 88045], [0.096436179055515325, 3131619], [0.093747466992634282, 2203520], [0.091561482861262228, 2925921], [0.089411982979986329, 3112554], [0.087001709360214785, 3156255], [0.080737835903639796, 3069889], [0.079201923972018973, 2928226], [0.078110178161732477, 783400], [0.078057822149968176, 2956792], [0.077258933372686689, 3045253], [0.074894208335214388, 3342627], [0.070773779375514753, 3298902], [0.069600682516151549, 2883588], [0.066565745397233408, 1014590], [0.06555366373607012, 3382065], [0.06555159664802393, 3382074]]"
212622,"[[0.76930227241677729, 2966095], [0.41413864419205099, 159391], [0.22176380643216698, 2911091], [0.17446533545528597, 3208134], [0.1472040480461925, 3381819], [0.14435413811597869, 2909556], [0.13809455040635263, 3068293], [0.13443135302547557, 3037098], [0.12891703116280734, 3065307], [0.12828873095577725, 3185190], [0.12231674284681703, 3015983], [0.11916134049350845, 3230794], [0.11167457978133828, 237196], [0.097212782076239151, 3024853], [0.089932656480218712, 2873708], [0.088660472993126294, 2909131], [0.086439139530604364, 3291285], [0.085192983615524007, 3249676]]"
